Time,Sin,Cos
0,0,2
0.001,0.0125663,1.99996
0.002,0.0251321,1.99984
0.003,0.0376969,1.99964
0.004,0.0502602,1.99937
0.005,0.0628215,1.99901
0.006,0.0753804,1.99858
0.007,0.0879362,1.99807
0.008,0.100489,1.99747
0.009,0.113037,1.9968
0.01,0.125581,1.99605
0.011,0.13812,1.99523
0.012,0.150654,1.99432
0.013,0.163181,1.99333
0.014,0.175702,1.99227
0.015,0.188217,1.99112
0.016,0.200723,1.9899
0.017,0.213222,1.9886
0.018,0.225713,1.98722
0.019,0.238194,1.98577
0.02,0.250666,1.98423
0.021,0.263129,1.98262
0.022,0.275581,1.98092
0.023,0.288022,1.97915
0.024,0.300451,1.9773
0.025,0.312869,1.97538
0.026,0.325274,1.97337
0.027,0.337667,1.97129
0.028,0.350046,1.96913
0.029,0.362412,1.96689
0.03,0.374763,1.96457
0.031,0.387099,1.96218
0.032,0.39942,1.95971
0.033,0.411725,1.95716
0.034,0.424014,1.95454
0.035,0.436286,1.95183
0.036,0.448542,1.94905
0.037,0.460779,1.9462
0.038,0.472998,1.94326
0.039,0.485198,1.94025
0.04,0.49738,1.93717
0.041,0.509541,1.934
0.042,0.521683,1.93076
0.043,0.533804,1.92745
0.044,0.545904,1.92406
0.045,0.557982,1.92059
0.046,0.570039,1.91704
0.047,0.582072,1.91342
0.048,0.594083,1.90973
0.049,0.606071,1.90596
